id,year_reported_to_cdp, account_number, organization, city, country, cdp_region, reporting_authority, access, climate_hazard, adaptation_action, action_title, status_of_action, co_benefit_area, action_description_and_implementation_progress, finance_status, total_cost_of_project, total_cost_provided_by_the_local_government, primary_source_fund, web_link, population, population_year, city_location, last_update,,,,,,,,,,,,,,,
1,2018,50381,Municipio de Torreón,Torreón,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Vector-borne disease,Testing/vaccination programmes for vector-borne disease,,Implementation,,there is a program for vector control,,,,,,639629,2010,POINT (-103.407 25.5428),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
2,2018,73301,"City of Gretna, LA",Gretna,United States of America,North America,CDP Cities,public,Tropical storm,Community engagement/education,,Operation,,,,,,,,17935,2017,POINT (-90.0542 29.9164),2019-11-29T08:49:03.203,46,,,,,,,,,,,,,,
3,2018,36504,Comune di Rimini,Rimini,Italy,Europe,CDP Cities,public,Rain storm,Sea level rise modelling,,Pre-feasibility study,,,,,,,,148923,2016,POINT (12.5695 44.0678),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
4,2018,60356,Prefeitura de Tupã,Tupã,Brazil,Latin America,CDP Cities,public,,,,,,,,,,,,63476,2010,POINT (-50.5196 -21.934),2019-11-29T08:49:03.203,213,,,,,,,,,,,,,,
5,2018,36494,Comune di Padova,Padova,Italy,Europe,CDP Cities,public,Rain storm,No action currently taken,,,,,,,,,,211210,2017,POINT (11.8768 45.4064),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
6,2018,35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo,Israel,Middle East,"CDP Cities, C40",public,River flood,Hazard resistant infrastructure design and construction,,Complete,,"The security department implemented an operative protocol to deal with emergencies events, including ongoing monitoring and replacing of infrastructure.",,,,,,438820,2016,POINT (34.7823 32.0816),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
7,2018,54478,Gemeente Nijmegen,Nijmegen,Netherlands,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Water-borne disease,Disease prevention measures,,Operation,,the water board maintains the ponds in the city and they do the monitoring,,,,,,175000,2017,POINT (5.84282 51.8449),2019-11-29T08:49:03.203,38,,,,,,,,,,,,,,
8,2019,826210,Junta Intermunicipal de Medio Ambiente de la Costa Sur (JICOSUR),JICOSUR,Mexico,Latin America,CDP Cities,public,Water Scarcity > Drought,Tree planting and/or creation of green space,Reforestación,Implementation,Reduced GHG emissions,"Se tiene un programa de reforestación, obras de suelo y brechas corta fuego, esto fue en el año 2018 y por cambio de administración tanto federal como estatal no existió continuidad, sin embargo en el 2019, cada municipio lleva a cabo acciones de reforestación.",,,,,,147918,2010,POINT (-104.38 19.34),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
9,2018,57616,"City of Lake Forest, IL",Lake Forest,United States of America,North America,CDP Cities,public,,,,,,,,,,,,19375,2010,POINT (-87.8406 42.2586),2019-11-29T08:49:03.203,42,,,,,,,,,,,,,,
10,2019,59552,"City of Davis, CA","Davis, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,68111,2016,POINT (-121.741 38.5449),2019-11-29T08:56:56.313,71,,,,,,,,,,,,,,
11,2019,42388,Intendencia de Montevideo,Montevideo,Uruguay,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Mass movement > Vector-borne disease,Public preparedness (including practice exercises/drills),Erradicación del vector Dengue,Operation,"Social inclusion, social justice",Se trabaja con comunicación a la población y fumigación de habitat del vector en los meses de mayor riesgo.  A nivel nacional hay un plan general para el país,,,,,,1380432,2016,POINT (-58.2987 -34.7112),2019-11-29T08:56:56.313,,,,,,,,,,,,,,,
12,2018,20113,City of Vancouver,Vancouver,Canada,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Extreme hot days,Community engagement/education,,Monitoring and reporting,,"Mapping vulnerable populations to heat, canopy cover and air/surface temperature to identify priority locations. Piloting cooling stations outside social housing units to provide cool refuge. Public Education",,,,,,631486,2016,POINT (-123.114 49.2612),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
13,2018,31184,Prefeitura de São Paulo,São Paulo,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Severe wind,Real time risk monitoring,,Implementation,,"Fiscalização e vistorias das árvores urbanas atendendo aos chamados dos moradores e por ação preventiva, visando a poda ou corte dos exemplares em situação de risco de queda e o plantio de outras espécies mais adequadas de acordo com a localização. Durante a Operação Chuvas de Verão as ações se intensificam.",,,,,,11253503,2017,POINT (-46.7382 -23.5595),2019-11-29T08:49:03.203,,,,,,,,,,,,,,,
